Symptom,Hypertension,Coronary artery disease,Heart attack (Myocardial infarction),Heart failure,Arrhythmia,Peripheral artery disease,Stroke,Atherosclerosis,Atrial fibrillation,Deep vein thrombosis (DVT),Asthma,Chronic obstructive pulmonary disease (COPD),Pneumonia,Bronchitis,Tuberculosis,Pulmonary embolism,Lung cancer,Cystic fibrosis,Sleep apnea,Influenza (Flu),Alzheimer’s disease,Parkinson’s disease,Epilepsy,Migraine,Multiple sclerosis (MS),Amyotrophic lateral sclerosis (ALS),Dementia,Peripheral neuropathy,Bell’s palsy,Stroke (neurological),Diabetes mellitus (Type 1 & Type 2),Hypothyroidism,Hyperthyroidism,Cushing’s syndrome,Addison’s disease,Polycystic ovary syndrome (PCOS),Metabolic syndrome,Obesity,Gout,Hypoglycemia,Common cold,COVID-19,"Hepatitis A, B, or C",HIV/AIDS,Malaria,Lyme disease,Chickenpox (Varicella),Measles,Mumps,Rubella,Rheumatoid arthritis,Lupus (Systemic lupus erythematosus),Psoriasis,Celiac disease,Crohn’s disease,Ulcerative colitis,Ankylosing spondylitis,Graves’ disease,Sjögren’s syndrome,Scleroderma,Gastroesophageal reflux disease (GERD),Peptic ulcer disease,Irritable bowel syndrome (IBS),Gallstones,Pancreatitis,Liver cirrhosis,Hepatitis,Constipation,Hemorrhoids,Gastritis,Osteoarthritis,Osteoporosis,Fibromyalgia,Back pain,Scoliosis,Tendonitis,Carpal tunnel syndrome,Bursitis,Gout (musculoskeletal),Fractures,Cataracts,Glaucoma,Macular degeneration,Conjunctivitis (Pink eye),Tinnitus,Hearing loss,Meniere’s disease,Dry eye syndrome,Retinal detachment,Ear infection (Otitis media),Acne,Eczema (Atopic dermatitis),Psoriasis (skin),Rosacea,"Skin cancer (Melanoma, BCC, SCC)",Warts,Fungal infections,Hives (Urticaria),Shingles (Herpes zoster),Vitiligo
Sensitivity to light,0.049,0.092,0.045,0.038,0.044,0.051,0.013,0.06,0.087,0.037,0.074,0.054,0.022,0.074,0.054,0.02,0.071,0.069,0.072,0.061,0.053,0.087,0.056,0.7,0.055,0.097,0.066,0.042,0.098,0.039,0.013,0.014,0.085,0.041,0.077,0.012,0.09,0.041,0.019,0.041,0.042,0.042,0.07,0.032,0.068,0.063,0.092,0.016,0.037,0.04,0.012,0.039,0.051,0.088,0.061,0.091,0.034,0.073,0.063,0.099,0.044,0.045,0.062,0.083,0.019,0.071,0.04,0.055,0.079,0.041,0.065,0.043,0.049,0.055,0.086,0.081,0.086,0.058,0.036,0.014,0.1,0.046,0.03,0.077,0.018,0.086,0.019,0.04,0.016,0.082,0.053,0.029,0.082,0.069,0.037,0.082,0.049,0.059,0.028,0.046
Insomnia,0.066,0.051,0.079,0.026,0.012,0.073,0.088,0.062,0.029,0.097,0.077,0.052,0.094,0.058,0.065,0.079,0.049,0.061,0.066,0.057,0.043,0.023,0.024,0.072,0.037,0.049,0.039,0.085,0.016,0.028,0.047,0.084,0.068,0.033,0.064,0.047,0.02,0.027,0.032,0.084,0.052,0.06,0.049,0.068,0.013,0.024,0.022,0.033,0.082,0.069,0.026,0.087,0.097,0.054,0.012,0.087,0.018,0.064,0.088,0.091,0.047,0.043,0.069,0.018,0.095,0.075,0.023,0.02,0.076,0.094,0.057,0.085,0.095,0.094,0.033,0.09,0.031,0.021,0.083,0.04,0.063,0.045,0.077,0.031,0.048,0.023,0.026,0.097,0.05,0.033,0.063,0.054,0.044,0.095,0.038,0.048,0.071,0.097,0.089,0.094
Anxiety,0.043,0.074,0.084,0.012,0.097,0.065,0.086,0.07,0.095,0.072,0.081,0.032,0.06,0.038,0.096,0.043,0.083,0.021,0.088,0.087,0.045,0.092,0.045,0.098,0.033,0.018,0.084,0.031,0.029,0.09,0.092,0.067,0.3,0.079,0.047,0.013,0.088,0.084,0.095,0.052,0.047,0.086,0.075,0.089,0.084,0.084,0.073,0.056,0.042,0.064,0.083,0.076,0.051,0.012,0.015,0.068,0.067,0.3,0.022,0.046,0.067,0.038,0.017,0.024,0.056,0.097,0.085,0.079,0.086,0.072,0.081,0.039,0.053,0.076,0.033,0.072,0.084,0.082,0.028,0.047,0.026,0.089,0.095,0.09,0.03,0.095,0.093,0.068,0.066,0.092,0.098,0.028,0.073,0.025,0.046,0.049,0.033,0.018,0.043,0.095
Depression,0.021,0.075,0.049,0.093,0.051,0.071,0.021,0.074,0.027,0.088,0.08,0.036,0.054,0.022,0.087,0.064,0.1,0.035,0.071,0.048,0.047,0.023,0.036,0.034,0.066,0.092,0.043,0.072,0.051,0.011,0.022,0.039,0.072,0.072,0.074,0.074,0.076,0.033,0.019,0.015,0.04,0.031,0.092,0.1,0.095,0.097,0.064,0.077,0.014,0.033,0.066,0.037,0.046,0.043,0.097,0.06,0.062,0.033,0.055,0.094,0.089,0.022,0.039,0.058,0.023,0.021,0.014,0.022,0.088,0.085,0.077,0.093,0.035,0.089,0.065,0.079,0.034,0.038,0.09,0.038,0.1,0.079,0.024,0.087,0.069,0.082,0.015,0.023,0.031,0.013,0.033,0.074,0.049,0.1,0.093,0.014,0.042,0.074,0.054,0.054
Irritability,0.086,0.088,0.021,0.018,0.088,0.026,0.025,0.056,0.035,0.09,0.063,0.063,0.097,0.057,0.061,0.047,0.017,0.079,0.071,0.09,0.3,0.071,0.071,0.045,0.063,0.096,0.085,0.024,0.017,0.085,0.069,0.051,0.096,0.063,0.011,0.097,0.069,0.096,0.039,0.076,0.076,0.096,0.061,0.029,0.014,0.068,0.039,0.015,0.016,0.096,0.044,0.046,0.026,0.097,0.088,0.018,0.087,0.025,0.08,0.036,0.078,0.069,0.021,0.054,0.049,0.083,0.038,0.072,0.022,0.07,0.085,0.056,0.054,0.09,0.053,0.061,0.048,0.078,0.083,0.065,0.049,0.048,0.014,0.041,0.052,0.03,0.072,0.024,0.055,0.067,0.057,0.036,0.049,0.092,0.053,0.023,0.022,0.091,0.086,0.057
Mood swings,0.037,0.014,0.017,0.014,0.02,0.048,0.019,0.069,0.061,0.033,0.033,0.017,0.055,0.02,0.07,0.026,0.026,0.045,0.017,0.089,0.037,0.063,0.051,0.07,0.066,0.034,0.097,0.088,0.027,0.027,0.077,0.064,0.088,0.02,0.058,0.011,0.021,0.025,0.053,0.072,0.088,0.097,0.064,0.054,0.066,0.098,0.042,0.071,0.072,0.046,0.037,0.021,0.011,0.02,0.011,0.097,0.087,0.029,0.068,0.068,0.049,0.066,0.081,0.027,0.037,0.052,0.053,0.012,0.025,0.024,0.073,0.097,0.052,0.087,0.063,0.028,0.061,0.085,0.015,0.011,0.067,0.074,0.098,0.086,0.076,0.064,0.06,0.036,0.054,0.054,0.063,0.065,0.071,0.084,0.054,0.074,0.058,0.048,0.038,0.016
Panic attacks,0.09,0.048,0.053,0.055,0.095,0.041,0.073,0.012,0.036,0.027,0.041,0.031,0.03,0.092,0.041,0.064,0.086,0.069,0.022,0.036,0.074,0.096,0.085,0.071,0.076,0.082,0.082,0.086,0.066,0.035,0.077,0.07,0.022,0.028,0.065,0.019,0.047,0.099,0.037,0.029,0.014,0.012,0.089,0.042,0.024,0.085,0.091,0.013,0.016,0.049,0.066,0.021,0.03,0.033,0.041,0.042,0.014,0.089,0.034,0.024,0.072,0.056,0.07,0.074,0.093,0.049,0.051,0.086,0.02,0.02,0.065,0.08,0.095,0.084,0.014,0.019,0.067,0.088,0.092,0.024,0.036,0.05,0.056,0.076,0.019,0.068,0.04,0.022,0.086,0.05,0.047,0.079,0.032,0.083,0.041,0.055,0.018,0.044,0.078,0.042
Crying spells,0.07,0.024,0.078,0.048,0.031,0.082,0.047,0.047,0.051,0.087,0.082,0.043,0.013,0.023,0.011,0.083,0.095,0.018,0.038,0.098,0.025,0.016,0.078,0.069,0.068,0.091,0.015,0.067,0.074,0.069,0.057,0.037,0.046,0.071,0.06,0.037,0.077,0.092,0.011,0.035,0.058,0.093,0.073,0.05,0.028,0.059,0.081,0.069,0.073,0.09,0.08,0.046,0.028,0.037,0.013,0.04,0.075,0.077,0.021,0.099,0.036,0.018,0.06,0.057,0.078,0.024,0.013,0.082,0.063,0.032,0.08,0.075,0.099,0.02,0.015,0.044,0.066,0.042,0.014,0.069,0.021,0.037,0.076,0.051,0.098,0.082,0.099,0.061,0.09,0.066,0.058,0.064,0.042,0.036,0.081,0.074,0.071,0.074,0.057,0.032
Loss of interest,0.3,0.062,0.084,0.043,0.019,0.074,0.085,0.017,0.016,0.09,0.053,0.05,0.043,0.057,0.063,0.057,0.046,0.034,0.055,0.048,0.05,0.094,0.054,0.098,0.084,0.023,0.021,0.074,0.022,0.073,0.088,0.021,0.029,0.053,0.077,0.095,0.043,0.096,0.064,0.047,0.021,0.061,0.014,0.024,0.043,0.099,0.037,0.054,0.081,0.023,0.063,0.014,0.09,0.09,0.029,0.084,0.054,0.021,0.041,0.088,0.048,0.062,0.061,0.091,0.08,0.053,0.075,0.065,0.079,0.055,0.051,0.05,0.05,0.088,0.039,0.082,0.07,0.047,0.031,0.046,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.074,0.06,0.021,0.06,0.027,0.066,0.062,0.015,0.061,0.027,0.053
Difficulty concentrating,0.091,0.021,0.094,0.026,0.012,0.081,0.032,0.074,0.09,0.05,0.083,0.065,0.046,0.014,0.088,0.012,0.049,0.047,0.087,0.039,0.6,0.02,0.019,0.025,0.023,0.033,0.018,0.038,0.047,0.025,0.065,0.039,0.012,0.015,0.045,0.039,0.047,0.039,0.044,0.084,0.021,0.028,0.078,0.063,0.054,0.078,0.045,0.02,0.015,0.052,0.047,0.054,0.047,0.031,0.09,0.034,0.097,0.071,0.032,0.06,0.081,0.037,0.047,0.018,0.067,0.028,0.097,0.044,0.099,0.08,0.058,0.048,0.092,0.051,0.01,0.052,0.085,0.036,0.097,0.01,0.094,0.053,0.064,0.086,0.044,0.042,0.067,0.063,0.056,0.014,0.077,0.061,0.037,0.046,0.021,0.023,0.06,0.035,0.049,0.065
Increased thirst,0.096,0.039,0.071,0.041,0.034,0.078,0.051,0.032,0.098,0.041,0.051,0.064,0.011,0.072,0.068,0.01,0.053,0.091,0.071,0.047,0.091,0.073,0.079,0.058,0.081,0.068,0.017,0.013,0.085,0.07,0.5,0.042,0.083,0.084,0.042,0.026,0.2,0.073,0.011,0.2,0.094,0.05,0.03,0.012,0.035,0.093,0.042,0.018,0.065,0.037,0.075,0.031,0.054,0.043,0.035,0.091,0.074,0.029,0.028,0.084,0.046,0.088,0.061,0.054,0.06,0.069,0.061,0.071,0.061,0.016,0.022,0.016,0.033,0.061,0.031,0.057,0.08,0.027,0.071,0.099,0.072,0.058,0.033,0.06,0.051,0.094,0.068,0.095,0.015,0.094,0.049,0.1,0.035,0.071,0.052,0.043,0.078,0.09,0.03,0.035
Frequent urination,0.048,0.05,0.01,0.028,0.017,0.061,0.012,0.076,0.098,0.048,0.017,0.032,0.025,0.038,0.066,0.019,0.053,0.083,0.063,0.066,0.04,0.033,0.02,0.031,0.041,0.015,0.04,0.081,0.095,0.08,0.5,0.079,0.066,0.062,0.018,0.015,0.013,0.038,0.086,0.016,0.021,0.093,0.05,0.037,0.066,0.016,0.071,0.06,0.037,0.044,0.019,0.078,0.031,0.064,0.069,0.011,0.045,0.082,0.089,0.066,0.041,0.094,0.08,0.051,0.04,0.027,0.019,0.064,0.016,0.081,0.027,0.062,0.067,0.033,0.048,0.075,0.05,0.032,0.082,0.015,0.038,0.049,0.096,0.078,0.038,0.09,0.08,0.023,0.038,0.041,0.043,0.011,0.063,0.071,0.015,0.056,0.085,0.087,0.048,0.028
Painful urination,0.4,0.092,0.081,0.041,0.07,0.073,0.098,0.064,0.04,0.062,0.097,0.065,0.048,0.025,0.051,0.081,0.014,0.03,0.01,0.03,0.031,0.066,0.032,0.076,0.096,0.04,0.077,0.028,0.027,0.099,0.043,0.017,0.013,0.02,0.036,0.027,0.063,0.079,0.6,0.013,0.028,0.026,0.6,0.075,0.041,0.06,0.026,0.012,0.086,0.092,0.012,0.4,0.044,0.081,0.02,0.094,0.037,0.032,0.083,0.069,0.6,0.7,0.8,0.7,0.3,0.3,0.023,0.4,0.5,0.6,0.044,0.6,0.9,0.3,0.5,0.8,0.065,0.6,0.62,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.052,0.07,0.016,0.056,0.078,0.068,0.056,0.055,0.052,0.8,0.044
Blood in urine,0.073,0.074,0.055,0.034,0.046,0.093,0.063,0.013,0.03,0.028,0.088,0.046,0.038,0.09,0.061,0.094,0.044,0.06,0.022,0.018,0.05,0.042,0.063,0.052,0.066,0.048,0.052,0.047,0.082,0.039,0.044,0.026,0.031,0.068,0.042,0.017,0.086,0.056,0.068,0.081,0.093,0.019,0.016,0.013,0.028,0.028,0.04,0.037,0.083,0.072,0.035,0.074,0.1,0.1,0.078,0.077,0.092,0.011,0.037,0.084,0.08,0.046,0.047,0.062,0.069,0.052,0.056,0.079,0.023,0.046,0.03,0.077,0.053,0.056,0.081,0.078,0.075,0.052,0.081,0.038,0.027,0.079,0.073,0.029,0.05,0.06,0.044,0.062,0.022,0.095,0.011,0.083,0.085,0.041,0.048,0.072,0.046,0.08,0.058,0.039
Decreased urination,0.012,0.081,0.093,0.024,0.096,0.04,0.067,0.064,0.065,0.088,0.098,0.028,0.045,0.058,0.027,0.02,0.061,0.051,0.091,0.018,0.019,0.06,0.013,0.072,0.054,0.027,0.016,0.097,0.036,0.031,0.069,0.016,0.015,0.057,0.025,0.087,0.047,0.024,0.02,0.058,0.053,0.016,0.096,0.088,0.022,0.029,0.049,0.074,0.053,0.064,0.095,0.063,0.055,0.072,0.035,0.011,0.023,0.016,0.046,0.083,0.057,0.092,0.089,0.051,0.062,0.076,0.036,0.089,0.051,0.073,0.074,0.037,0.065,0.083,0.026,0.032,0.091,0.076,0.051,0.092,0.027,0.061,0.045,0.095,0.032,0.088,0.035,0.067,0.036,0.092,0.073,0.075,0.03,0.054,0.099,0.06,0.1,0.017,0.019,0.079
Urine leakage,0.039,0.051,0.033,0.056,0.052,0.017,0.073,0.077,0.044,0.077,0.087,0.046,0.011,0.02,0.093,0.039,0.077,0.054,0.016,0.059,0.032,0.096,0.023,0.084,0.086,0.025,0.012,0.019,0.036,0.058,0.045,0.017,0.079,0.071,0.024,0.042,0.03,0.013,0.071,0.029,0.073,0.085,0.083,0.068,0.074,0.091,0.045,0.038,0.015,0.01,0.08,0.079,0.094,0.044,0.031,0.018,0.048,0.099,0.04,0.027,0.07,0.03,0.089,0.082,0.085,0.025,0.025,0.047,0.02,0.039,0.061,0.027,0.029,0.059,0.095,0.021,0.029,0.042,0.026,0.046,0.038,0.045,0.051,0.016,0.083,0.068,0.043,0.016,0.03,0.037,0.064,0.098,0.019,0.058,0.099,0.087,0.025,0.096,0.064,0.098
Menstrual cramps,0.073,0.071,0.098,0.072,0.04,0.067,0.09,0.039,0.087,0.053,0.04,0.065,0.063,0.044,0.068,0.031,0.063,0.099,0.031,0.065,0.091,0.038,0.076,0.078,0.066,0.015,0.044,0.037,0.024,0.028,0.013,0.093,0.064,0.095,0.077,0.04,0.035,0.068,0.078,0.057,0.098,0.068,0.036,0.012,0.086,0.04,0.032,0.059,0.092,0.07,0.032,0.072,0.075,0.065,0.044,0.039,0.05,0.011,0.088,0.016,0.027,0.067,0.023,0.028,0.018,0.063,0.085,0.094,0.031,0.017,0.075,0.038,0.075,0.032,0.026,0.032,0.036,0.05,0.067,0.034,0.08,0.017,0.098,0.046,0.025,0.05,0.055,0.076,0.078,0.084,0.081,0.012,0.044,0.087,0.078,0.093,0.064,0.024,0.075,0.033
Irregular periods,0.052,0.051,0.044,0.065,0.016,0.022,0.052,0.024,0.027,0.011,0.055,0.075,0.054,0.093,0.095,0.097,0.044,0.054,0.068,0.063,0.047,0.013,0.093,0.045,0.061,0.027,0.049,0.033,0.092,0.075,0.056,0.054,0.072,0.073,0.069,0.7,0.076,0.032,0.013,0.083,0.067,0.071,0.073,0.068,0.034,0.051,0.071,0.033,0.064,0.096,0.086,0.011,0.079,0.068,0.093,0.046,0.063,0.091,0.057,0.027,0.048,0.085,0.033,0.037,0.097,0.069,0.044,0.038,0.047,0.089,0.075,0.018,0.067,0.08,0.041,0.023,0.077,0.094,0.046,0.038,0.099,0.083,0.01,0.016,0.073,0.057,0.069,0.076,0.025,0.044,0.073,0.028,0.026,0.095,0.051,0.083,0.027,0.015,0.026,0.078
Missed periods,0.033,0.091,0.047,0.066,0.066,0.088,0.025,0.036,0.044,0.035,0.041,0.063,0.053,0.071,0.019,0.015,0.078,0.011,0.062,0.099,0.019,0.057,0.011,0.064,0.099,0.079,0.094,0.053,0.04,0.049,0.043,0.09,0.1,0.084,0.095,0.07,0.044,0.015,0.042,0.04,0.019,0.051,0.073,0.075,0.09,0.022,0.064,0.088,0.035,0.073,0.083,0.043,0.066,0.069,0.053,0.047,0.027,0.099,0.096,0.083,0.011,0.042,0.014,0.083,0.039,0.05,0.065,0.046,0.065,0.017,0.049,0.094,0.094,0.099,0.087,0.091,0.076,0.036,0.028,0.023,0.057,0.061,0.087,0.055,0.022,0.082,0.037,0.071,0.059,0.089,0.025,0.05,0.02,0.07,0.032,0.029,0.078,0.069,0.018,0.049
Vaginal discharge,0.074,0.024,0.094,0.091,0.079,0.03,0.033,0.053,0.091,0.021,0.022,0.058,0.075,0.018,0.072,0.088,0.094,0.079,0.064,0.068,0.044,0.075,0.076,0.044,0.068,0.061,0.087,0.083,0.03,0.02,0.018,0.018,0.077,0.094,0.077,0.02,0.043,0.087,0.096,0.062,0.01,0.016,0.058,0.086,0.098,0.039,0.043,0.071,0.082,0.057,0.064,0.03,0.046,0.058,0.051,0.023,0.095,0.085,0.055,0.051,0.064,0.023,0.07,0.082,0.073,0.064,0.038,0.099,0.021,0.1,0.074,0.053,0.085,0.055,0.073,0.044,0.098,0.04,0.085,0.029,0.076,0.083,0.073,0.015,0.088,0.026,0.054,0.045,0.099,0.069,0.086,0.099,0.059,0.04,0.071,0.099,0.078,0.045,0.058,0.035
Vaginal itching,0.073,0.028,0.087,0.045,0.022,0.078,0.062,0.082,0.086,0.074,0.051,0.025,0.022,0.073,0.036,0.023,0.03,0.077,0.076,0.011,0.075,0.062,0.071,0.099,0.023,0.096,0.048,0.086,0.093,0.019,0.098,0.026,0.015,0.098,0.069,0.063,0.097,0.066,0.046,0.013,0.032,0.054,0.072,0.096,0.069,0.044,0.8,0.082,0.069,0.08,0.088,0.069,0.4,0.069,0.043,0.021,0.017,0.054,0.07,0.056,0.012,0.062,0.062,0.035,0.077,0.081,0.026,0.054,0.4,0.049,0.061,0.019,0.016,0.092,0.082,0.027,0.083,0.012,0.06,0.058,0.083,0.054,0.057,0.063,0.074,0.081,0.021,0.078,0.097,0.091,0.4,0.4,0.42,0.4,0.082,0.4,0.4,0.4,0.6,0.42
Erectile dysfunction,0.087,0.013,0.098,0.056,0.043,0.059,0.048,0.095,0.01,0.037,0.095,0.057,0.08,0.069,0.05,0.062,0.073,0.057,0.099,0.042,0.058,0.029,0.019,0.084,0.031,0.027,0.037,0.085,0.096,0.064,0.029,0.042,0.022,0.066,0.017,0.033,0.044,0.091,0.046,0.017,0.033,0.048,0.073,0.058,0.016,0.076,0.1,0.073,0.027,0.043,0.069,0.084,0.064,0.048,0.024,0.099,0.049,0.012,0.064,0.017,0.021,0.02,0.059,0.016,0.068,0.043,0.04,0.035,0.088,0.03,0.011,0.044,0.097,0.044,0.019,0.093,0.026,0.076,0.038,0.084,0.054,0.058,0.073,0.088,0.06,0.065,0.091,0.025,0.095,0.045,0.041,0.077,0.097,0.058,0.064,0.086,0.053,0.021,0.011,0.056
Loss of libido,0.3,0.021,0.044,0.076,0.015,0.075,0.098,0.074,0.032,0.065,0.074,0.026,0.099,0.082,0.055,0.035,0.048,0.095,0.089,0.083,0.037,0.087,0.095,0.047,0.038,0.018,0.017,0.076,0.095,0.025,0.015,0.077,0.06,0.054,0.089,0.097,0.048,0.056,0.076,0.053,0.056,0.1,0.09,0.073,0.046,0.065,0.092,0.077,0.074,0.073,0.077,0.032,0.077,0.096,0.084,0.089,0.058,0.065,0.065,0.097,0.071,0.089,0.057,0.03,0.017,0.086,0.056,0.096,0.048,0.044,0.044,0.02,0.092,0.032,0.059,0.079,0.021,0.037,0.036,0.029,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.066,0.054,0.042,0.065,0.04,0.042,0.01,0.09,0.027,0.042,0.019
Nighttime urination,0.054,0.018,0.056,0.024,0.021,0.054,0.024,0.069,0.03,0.046,0.037,0.049,0.026,0.083,0.02,0.049,0.086,0.025,0.042,0.049,0.042,0.088,0.028,0.027,0.014,0.046,0.077,0.091,0.024,0.028,0.053,0.07,0.034,0.048,0.06,0.082,0.074,0.039,0.079,0.089,0.055,0.093,0.086,0.045,0.02,0.02,0.012,0.024,0.055,0.079,0.031,0.071,0.041,0.098,0.076,0.049,0.036,0.054,0.078,0.032,0.024,0.056,0.032,0.079,0.088,0.099,0.032,0.084,0.028,0.074,0.083,0.073,0.055,0.026,0.099,0.063,0.067,0.031,0.022,0.013,0.099,0.094,0.048,0.065,0.018,0.015,0.047,0.038,0.067,0.031,0.04,0.053,0.056,0.068,0.037,0.034,0.035,0.042,0.048,0.039
Constipation,0.014,0.014,0.015,0.077,0.029,0.052,0.092,0.019,0.027,0.095,0.043,0.037,0.019,0.011,0.06,0.088,0.04,0.077,0.043,0.08,0.058,0.043,0.069,0.029,0.045,0.09,0.022,0.077,0.021,0.063,0.092,0.069,0.027,0.073,0.093,0.017,0.059,0.041,0.075,0.099,0.028,0.075,0.014,0.027,0.06,0.033,0.089,0.087,0.092,0.098,0.091,0.05,0.075,0.092,0.016,0.048,0.094,0.055,0.012,0.064,0.073,0.022,0.4,0.061,0.081,0.072,0.077,1,0.072,0.088,0.097,0.025,0.078,0.045,0.08,0.046,0.034,0.027,0.024,0.03,0.073,0.089,0.081,0.051,0.074,0.057,0.037,0.03,0.074,0.06,0.025,0.014,0.031,0.014,0.023,0.09,0.093,0.034,0.081,0.068
Bloating,0.032,0.084,0.058,0.01,0.041,0.064,0.043,0.017,0.073,0.059,0.075,0.047,0.065,0.039,0.015,0.083,0.084,0.03,0.097,0.026,0.097,0.058,0.098,0.08,0.08,0.02,0.077,0.044,0.069,0.088,0.067,0.06,0.084,0.03,0.034,0.062,0.083,0.078,0.024,0.031,0.075,0.043,0.091,0.018,0.026,0.027,0.088,0.027,0.054,0.076,0.068,0.012,0.025,0.4,0.045,0.065,0.016,0.016,0.032,0.092,0.097,0.019,0.6,0.075,0.083,0.064,0.044,0.5,0.084,0.079,0.068,0.014,0.032,0.018,0.023,0.066,0.011,0.097,0.096,0.02,0.076,0.04,0.074,0.028,0.053,0.061,0.05,0.025,0.04,0.024,0.015,0.072,0.066,0.021,0.084,0.019,0.037,0.056,0.085,0.023
Gas,0.092,0.012,0.048,0.023,0.069,0.03,0.089,0.045,0.09,0.084,0.02,0.025,0.02,0.019,0.096,0.042,0.065,0.021,0.093,0.093,0.091,0.064,0.026,0.058,0.064,0.071,0.024,0.07,0.037,0.084,0.041,0.019,0.092,0.07,0.094,0.083,0.074,0.017,0.01,0.094,0.023,0.069,0.039,0.045,0.075,0.081,0.053,0.016,0.062,0.096,0.035,0.018,0.1,0.026,0.045,0.039,0.048,0.072,0.047,0.081,0.04,0.082,0.5,0.032,0.048,0.055,0.058,0.058,0.084,0.045,0.062,0.048,0.062,0.072,0.077,0.073,0.031,0.01,0.099,0.012,0.06,0.096,0.093,0.015,0.041,0.086,0.088,0.084,0.037,0.023,0.087,0.097,0.092,0.032,0.085,0.015,0.022,0.097,0.073,0.044
Indigestion,0.012,0.097,0.043,0.073,0.07,0.017,0.085,0.088,0.013,0.043,0.017,0.017,0.061,0.083,0.023,0.026,0.077,0.077,0.073,0.037,0.047,0.04,0.08,0.073,0.036,0.024,0.089,0.013,0.078,0.055,0.011,0.085,0.071,0.089,0.06,0.085,0.093,0.055,0.074,0.048,0.024,0.098,0.057,0.098,0.021,0.029,0.066,0.03,0.027,0.077,0.06,0.086,0.083,0.052,0.038,0.068,0.084,0.025,0.082,0.068,0.028,0.5,0.017,0.064,0.086,0.013,0.035,0.059,0.016,0.5,0.078,0.038,0.06,0.067,0.013,0.034,0.098,0.061,0.061,0.081,0.014,0.038,0.095,0.011,0.042,0.035,0.046,0.028,0.078,0.075,0.098,0.073,0.019,0.047,0.077,0.019,0.083,0.024,0.063,0.044
Heartburn,0.063,0.087,0.036,0.024,0.052,0.09,0.018,0.075,0.09,0.083,0.069,0.079,0.024,0.097,0.056,0.076,0.069,0.094,0.041,0.081,0.041,0.042,0.087,0.049,0.09,0.08,0.045,0.029,0.065,0.017,0.024,0.067,0.055,0.082,0.023,0.088,0.059,0.097,0.08,0.018,0.018,0.038,0.094,0.025,0.035,0.043,0.018,0.026,0.079,0.033,0.053,0.033,0.089,0.069,0.023,0.021,0.061,0.014,0.087,0.046,0.087,0.093,0.022,0.043,0.086,0.096,0.044,0.071,0.056,0.034,0.089,0.071,0.066,0.068,0.077,0.032,0.084,0.011,0.087,0.036,0.024,0.046,0.017,0.045,0.052,0.018,0.052,0.068,0.091,0.052,0.018,0.076,0.093,0.093,0.079,0.028,0.04,0.039,0.1,0.054
Acid reflux,0.073,0.053,0.035,0.013,0.024,0.052,0.068,0.039,0.013,0.064,0.044,0.094,0.043,0.049,0.053,0.015,0.088,0.096,0.072,0.034,0.067,0.018,0.016,0.046,0.037,0.074,0.088,0.057,0.07,0.033,0.085,0.018,0.091,0.041,0.078,0.025,0.041,0.048,0.053,0.072,0.024,0.073,0.042,0.072,0.045,0.011,0.08,0.064,0.017,0.07,0.065,0.039,0.099,0.095,0.077,0.076,0.038,0.024,0.051,0.023,0.088,0.02,0.097,0.047,0.057,0.01,0.051,0.085,0.021,0.05,0.097,0.019,0.03,0.098,0.048,0.059,0.025,0.044,0.041,0.096,0.097,0.062,0.011,0.083,0.011,0.091,0.055,0.088,0.073,0.068,0.051,0.047,0.042,0.059,0.057,0.079,0.02,0.026,0.049,0.026
Belching,0.064,0.059,0.044,0.086,0.072,0.049,0.035,0.066,0.093,0.087,0.1,0.083,0.019,0.068,0.065,0.047,0.055,0.078,0.093,0.019,0.05,0.062,0.013,0.036,0.048,0.03,0.051,0.044,0.028,0.052,0.021,0.097,0.092,0.047,0.084,0.073,0.077,0.011,0.044,0.03,0.036,0.089,0.034,0.085,0.082,0.047,0.032,0.091,0.047,0.011,0.024,0.044,0.084,0.084,0.064,0.04,0.096,0.099,0.032,0.098,0.027,0.068,0.085,0.082,0.062,0.022,0.067,0.098,0.026,0.091,0.057,0.049,0.019,0.082,0.055,0.067,0.081,0.086,0.066,0.033,0.06,0.095,0.028,0.018,0.049,0.067,0.063,0.013,0.074,0.093,0.017,0.044,0.077,0.022,0.051,0.067,0.042,0.032,0.091,0.037
Bad taste in mouth,0.058,0.032,0.08,0.081,0.079,0.069,0.035,0.094,0.066,0.067,0.062,0.019,0.051,0.064,0.02,0.035,0.091,0.018,0.054,0.043,0.085,0.045,0.054,0.012,0.017,0.096,0.017,0.072,0.044,0.038,0.092,0.083,0.026,0.011,0.026,0.061,0.065,0.013,0.098,0.099,0.054,0.065,0.059,0.024,0.077,0.093,0.027,0.013,0.012,0.056,0.024,0.088,0.02,0.03,0.039,0.03,0.075,0.095,0.034,0.053,0.096,0.041,0.06,0.036,0.077,0.055,0.056,0.046,0.027,0.026,0.072,0.09,0.035,0.045,0.063,0.079,0.038,0.081,0.096,0.054,0.089,0.048,0.077,0.083,0.066,0.065,0.049,0.061,0.044,0.067,0.016,0.025,0.013,0.056,0.063,0.036,0.084,0.068,0.097,0.042
